Time,ax,ay,AngleZ
 08:58:49.023,0.002,-0.0034,-97.8333
 08:58:49.108,0.0088,0.0073,-97.8058
 08:58:49.217,0.0103,-0.0098,-97.7893
 08:58:49.311,0.0034,0.0005,-97.7618
 08:58:49.417,0.0098,0.0127,-97.7399
 08:58:49.513,0.0093,-0.0044,-97.7399
 08:58:49.627,0.0039,-0.002,-97.7399
 08:58:49.708,0.0005,0.0015,-97.7289
 08:58:49.804,0.0054,-0.0063,-97.7179
 08:58:49.904,0.0142,0,-97.7069
 08:58:50.003,0.0073,-0.0015,-97.6849
 08:58:50.105,0.0024,-0.0039,-97.6685
 08:58:50.210,0.001,0.002,-97.6465
 08:58:50.306,-0.0015,-0.0063,-97.6355
 08:58:50.401,0.0034,0.0073,-97.6135
 08:58:50.510,0.002,-0.0078,-97.597
 08:58:50.605,0.0054,-0.001,-97.5751
 08:58:50.713,0.0034,0.0024,-97.5586
 08:58:50.807,-0.001,-0.0088,-97.5421
 08:58:50.907,0,0.0083,-97.5201
 08:58:51.003,-0.0005,-0.001,-97.5092
 08:58:51.107,-0.0029,-0.0078,-97.5037
 08:58:51.211,-0.0083,0.0054,-97.5037
 08:58:51.306,-0.0015,-0.0024,-97.5037
 08:58:51.401,-0.0039,0.0063,-97.4377
 08:58:51.503,-0.0059,0.0127,-97.3169
 08:58:51.598,-0.0063,-0.001,-97.1411
 08:58:51.710,-0.0132,0.002,-96.9324
 08:58:51.797,-0.0083,0.0005,-96.7346
 08:58:51.897,0.0103,0.0049,-96.5094
 08:58:52.006,0,0.0063,-96.2567
 08:58:52.101,-0.0103,-0.0044,-96.015
 08:58:52.198,0.0093,0.0166,-95.7733
 08:58:52.311,0.0068,-0.002,-95.5206
 08:58:52.408,-0.0068,0.0015,-95.235
 08:58:52.504,-0.001,0.0234,-94.9164
 08:58:52.598,-0.0029,-0.0151,-94.5648
 08:58:52.709,-0.0039,0.0068,-94.1968
 08:58:52.809,-0.0049,0.019,-93.7903
 08:58:52.926,-0.0083,0.0029,-93.3453
 08:58:53.007,-0.0063,0.002,-92.8729
 08:58:53.107,0.001,0.0083,-92.395
 08:58:53.202,0.0024,0.0122,-91.9116
 08:58:53.306,-0.0039,0.0024,-91.3953
 08:58:53.404,-0.0039,0.0044,-90.8789
 08:58:53.528,0.0034,0.0083,-90.368
 08:58:53.597,0.0005,0.0039,-89.8737
 08:58:53.706,-0.0015,0.0088,-89.3573
 08:58:53.804,0.0093,0.0156,-88.8354
 08:58:53.906,0,0.0117,-88.2587
 08:58:54.002,-0.001,0.0093,-87.6764
 08:58:54.119,-0.0083,-0.0024,-87.1106
 08:58:54.201,0.0024,0.0054,-86.5393
 08:58:54.298,0.002,0.0137,-85.979
 08:58:54.398,0.0098,-0.001,-85.4187
 08:58:54.499,0.0059,0.0195,-84.8584
 08:58:54.601,0.0059,0.0103,-84.2981
 08:58:54.717,0.0142,0,-83.7433
 08:58:54.799,0.022,0.0151,-83.1665
 08:58:54.900,0.0088,0.0063,-82.5842
 08:58:55.000,-0.0015,0.0015,-81.991
 08:58:55.100,-0.0024,0.0073,-81.3977
 08:58:55.201,-0.001,0.0088,-80.8154
 08:58:55.301,0.0024,0.0044,-80.2386
 08:58:55.401,0.0039,0.0083,-79.6729
 08:58:55.501,0.0107,-0.001,-79.1071
 08:58:55.602,0.0083,-0.0068,-78.6017
 08:58:55.702,0.0083,-0.002,-78.1512
 08:58:55.789,0.0059,0.002,-77.7667
 08:58:55.893,-0.002,0.001,-77.4426
 08:58:55.990,0,0.0044,-77.1075
 08:58:56.100,-0.0024,0.0005,-76.767
 08:58:56.190,0.0039,0.0054,-76.4594
 08:58:56.298,0,0.0083,-76.1462
 08:58:56.395,0.002,-0.002,-75.8661
 08:58:56.488,0.0073,0.0039,-75.6189
 08:58:56.599,0.0156,0.0024,-75.4266
 08:58:56.696,0.0146,-0.0068,-75.2783
 08:58:56.822,0.0181,-0.001,-75.1849
 08:58:56.891,0.0098,-0.0059,-75.141
 08:58:56.985,-0.0063,-0.0063,-75.141
 08:58:57.089,0.0044,0.0117,-75.1355
 08:58:57.190,0.0063,0.002,-75.1245
 08:58:57.284,0.0103,0,-75.119
 08:58:57.388,0.0127,0.0137,-75.108
 08:58:57.486,0.001,0.0073,-75.0641
 08:58:57.582,-0.0093,0.0166,-74.9597
 08:58:57.689,-0.0146,0.0132,-74.8059
 08:58:57.808,-0.0083,0.0063,-74.6082
 08:58:57.888,0.0176,0.0142,-74.3665
 08:58:57.984,0.0054,0.001,-74.1028
 08:58:58.092,0.0103,0.0088,-73.8501
 08:58:58.190,0.0146,-0.0005,-73.6249
 08:58:58.291,0.0073,0,-73.4656
 08:58:58.387,0.0122,0.0015,-73.3447
 08:58:58.495,0.0039,-0.0132,-73.2898
 08:58:58.592,0.0088,0.0024,-73.2953
 08:58:58.692,0.0142,0.0127,-73.2953
